title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Junior Data Analyst Intern,Skillzenloop,India,onsite,Job,LinkedIn,6,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4386672274?position=49&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=frnVUrCSlJvwAyzKxXc4Kg%3D%3D,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4386672274?position=49&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=frnVUrCSlJvwAyzKxXc4Kg%3D%3D,2026-03-23,4 hours ago,2026-03-23,19:48:34,hourly,24h,2026-03-23 19:59,,
Data Analyst Intern,Zenithbyte,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388949502?position=13&pageNum=0&refId=PV%2FxFNh9Zdbv07CSTQB0jA%3D%3D&trackingId=UXzO%2BTRGVFqdAX3GPRe%2BkA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388949502?position=13&pageNum=0&refId=PV%2FxFNh9Zdbv07CSTQB0jA%3D%3D&trackingId=UXzO%2BTRGVFqdAX3GPRe%2BkA%3D%3D,2026-03-23,13 minutes ago,2026-03-23,19:48:34,hourly,24h,2026-03-23 19:59,,
Data Analyst Intern,Inficore Soft,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-inficore-soft-4388674802?position=59&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=5v0qoPHK8MscSb5FHt67%2BQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-inficore-soft-4388674802?position=59&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=5v0qoPHK8MscSb5FHt67%2BQ%3D%3D,2026-03-23,9 hours ago,2026-03-23,19:48:34,hourly,24h,2026-03-23 19:59,,
Data Analyst Intern,Webs X UM,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4389091206?position=15&pageNum=0&refId=PV%2FxFNh9Zdbv07CSTQB0jA%3D%3D&trackingId=Im8SI3Rckj%2BFBXa5bCW9Fg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4389091206?position=15&pageNum=0&refId=PV%2FxFNh9Zdbv07CSTQB0jA%3D%3D&trackingId=Im8SI3Rckj%2BFBXa5bCW9Fg%3D%3D,2026-03-23,1 hour ago,2026-03-23,19:48:34,hourly,24h,2026-03-23 19:59,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388698527?position=32&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=Y1d%2B8GFdq8m8M2Uehdd%2BGg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388698527?position=32&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=Y1d%2B8GFdq8m8M2Uehdd%2BGg%3D%3D,2026-03-23,5 hours ago,2026-03-23,19:48:34,hourly,24h,2026-03-23 19:59,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=38&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=FeYkewiCmh913oZyInd0OA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=38&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=FeYkewiCmh913oZyInd0OA%3D%3D,2026-03-23,5 hours ago,2026-03-23,19:48:34,hourly,24h,2026-03-23 19:59,,
Business Analyst Data Modelling-Associate - Kolkata Y-14 - Technology Consulting,PwC India,"Kolkata, West Bengal, India",onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/business-analyst-data-modelling-associate-kolkata-y-14-technology-consulting-at-pwc-india-4346329312?position=60&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=BybwrraAd%2B1U%2BBdjB0lhBw%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-data-modelling-associate-kolkata-y-14-technology-consulting-at-pwc-india-4346329312?position=60&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=BybwrraAd%2B1U%2BBdjB0lhBw%3D%3D,2026-03-23,1 hour ago,2026-03-23,19:48:34,hourly,24h,2026-03-23 19:59,,
Junior Data Analysis / Analytics Intern,Skillzenloop,India,onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/junior-data-analysis-analytics-intern-at-skillzenloop-4386673350?position=30&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=e2V0Q2E1dJI6sZTGqq%2FyEw%3D%3D,https://in.linkedin.com/jobs/view/junior-data-analysis-analytics-intern-at-skillzenloop-4386673350?position=30&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=e2V0Q2E1dJI6sZTGqq%2FyEw%3D%3D,2026-03-23,4 hours ago,2026-03-23,19:48:34,hourly,24h,2026-03-23 19:59,,
Application Support Engineer (Global Operations) — Intern-to-Hire,StanceBeam,Bangalore,onsite,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/application-support-engineer-global-operations--intern-to-hire-internship-in-bangalore-at-stancebeam1774246496,https://internshala.com/internship/detail/application-support-engineer-global-operations--intern-to-hire-internship-in-bangalore-at-stancebeam1774246496,,,2026-03-23,19:50:28,hourly,24h,2026-03-23 19:59,,
Operations,Saltec International,Kolkata,onsite,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,,today,2026-03-23,19:50:28,hourly,24h,2026-03-23 19:59,,
"Data Science Intern (Python, SQL, Pandas)",ArGo Intern,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-science-intern-python-sql-pandas-at-argo-intern-4388685992?position=27&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=6X09kdhcFim8xyjOi%2F%2BStg%3D%3D,https://in.linkedin.com/jobs/view/data-science-intern-python-sql-pandas-at-argo-intern-4388685992?position=27&pageNum=0&refId=RDXQUJ0S4gzPXsFqKXIv5w%3D%3D&trackingId=6X09kdhcFim8xyjOi%2F%2BStg%3D%3D,2026-03-23,5 hours ago,2026-03-23,19:48:34,hourly,24h,2026-03-23 19:59,,
